Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 15:58:12,4.9,15.22,5.43
2,2024-12-04 15:58:15,7.15,15.22,5.43
3,2024-12-04 15:58:17,9.56,15.22,5.43
4,2024-12-04 15:58:20,11.94,15.22,5.43
5,2024-12-04 15:58:22,14.37,15.22,5.43
6,2024-12-04 15:58:24,16.82,15.22,5.43
7,2024-12-04 15:58:27,19.3,15.22,5.43
8,2024-12-04 15:58:29,21.76,15.22,5.43
9,2024-12-04 15:58:32,24.24,15.22,5.43
10,2024-12-04 15:58:34,26.69,15.22,5.43
11,2024-12-04 15:58:37,29.18,15.22,5.43
12,2024-12-04 15:58:39,31.62,15.22,5.43
13,2024-12-04 15:58:42,34.1,15.22,5.43
14,2024-12-04 15:58:44,36.63,15.22,5.43
15,2024-12-04 15:58:47,39.16,15.22,5.43
