Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 18:13:13,1.22,15.24,3.68
2,2024-12-04 18:13:13,1.56,15.24,3.68
3,2024-12-04 18:13:14,1.93,15.24,3.68
4,2024-12-04 18:13:14,2.29,15.24,3.68
5,2024-12-04 18:13:14,2.62,15.24,3.68
6,2024-12-04 18:13:15,2.98,15.24,3.68
7,2024-12-04 18:13:15,3.34,15.24,3.68
8,2024-12-04 18:13:15,3.69,15.24,3.68
9,2024-12-04 18:13:16,4.05,15.24,3.68
10,2024-12-04 18:13:16,4.38,15.24,3.68
11,2024-12-04 18:13:16,4.72,15.24,3.68
12,2024-12-04 18:13:17,5.06,15.24,3.68
13,2024-12-04 18:13:17,5.4,15.24,3.68
14,2024-12-04 18:13:18,5.75,15.24,3.68
15,2024-12-04 18:13:18,6.1,15.24,3.68
