Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 17:08:39,1.16,15.24,1.84
2,2024-12-04 17:08:39,1.37,15.24,1.84
3,2024-12-04 17:08:40,1.59,15.24,1.84
4,2024-12-04 17:08:40,1.8,15.24,1.84
5,2024-12-04 17:08:40,2.01,15.24,1.84
6,2024-12-04 17:08:40,2.23,15.24,1.84
7,2024-12-04 17:08:41,2.45,15.24,1.84
8,2024-12-04 17:08:41,2.66,15.24,1.84
9,2024-12-04 17:08:41,2.87,15.24,1.84
10,2024-12-04 17:08:41,3.08,15.24,1.84
11,2024-12-04 17:08:41,3.29,15.24,1.84
12,2024-12-04 17:08:42,3.5,15.24,1.84
13,2024-12-04 17:08:42,3.71,15.24,1.84
14,2024-12-04 17:08:42,3.93,15.24,1.84
15,2024-12-04 17:08:42,4.14,15.24,1.84
