Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 15:58:12,4.90,15.22,5.43
2,2024-12-04 15:58:15,7.15,15.22,5.43
3,2024-12-04 15:58:17,9.56,15.22,5.43
4,2024-12-04 15:58:20,11.94,15.22,5.43
5,2024-12-04 15:58:22,14.37,15.22,5.43
6,2024-12-04 15:58:24,16.82,15.22,5.43
7,2024-12-04 15:58:27,19.30,15.22,5.43
8,2024-12-04 15:58:29,21.76,15.22,5.43
9,2024-12-04 15:58:32,24.24,15.22,5.43
10,2024-12-04 15:58:34,26.69,15.22,5.43
11,2024-12-04 15:58:37,29.18,15.22,5.43
12,2024-12-04 15:58:39,31.62,15.22,5.43
13,2024-12-04 15:58:42,34.10,15.22,5.43
14,2024-12-04 15:58:44,36.63,15.22,5.43
15,2024-12-04 15:58:47,39.16,15.22,5.43
16,2024-12-04 15:58:49,41.66,15.22,5.43
17,2024-12-04 15:58:52,44.18,15.22,5.43
18,2024-12-04 15:58:54,46.78,15.22,5.43
19,2024-12-04 15:58:57,49.32,15.22,5.43
20,2024-12-04 15:58:59,51.88,15.22,5.43
21,2024-12-04 15:59:02,54.42,15.22,5.43
22,2024-12-04 15:59:05,56.96,15.22,5.43
23,2024-12-04 15:59:07,59.50,15.22,5.43
24,2024-12-04 15:59:10,62.03,15.22,5.43
25,2024-12-04 15:59:12,64.61,15.22,5.43
26,2024-12-04 15:59:15,67.20,15.22,5.43
27,2024-12-04 15:59:17,69.81,15.22,5.43
28,2024-12-04 15:59:20,72.39,15.22,5.43
29,2024-12-04 15:59:23,74.94,15.22,5.43
30,2024-12-04 15:59:25,77.60,15.22,5.43
31,2024-12-04 15:59:28,80.23,15.22,5.43
32,2024-12-04 15:59:30,82.83,15.22,5.43
33,2024-12-04 15:59:33,85.48,15.22,5.43
34,2024-12-04 15:59:36,88.14,15.22,5.43
35,2024-12-04 15:59:38,90.85,15.22,5.43
36,2024-12-04 15:59:41,93.60,15.22,5.43
37,2024-12-04 15:59:44,96.30,15.22,5.43
38,2024-12-04 15:59:47,99.03,15.22,5.43
39,2024-12-04 15:59:49,101.75,15.22,5.43
40,2024-12-04 15:59:52,104.48,15.22,5.43
41,2024-12-04 15:59:55,107.19,15.22,5.43
42,2024-12-04 15:59:58,109.93,15.22,5.43
