Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 18:13:13,1.22,15.24,3.68
2,2024-12-04 18:13:13,1.56,15.24,3.68
3,2024-12-04 18:13:14,1.93,15.24,3.68
4,2024-12-04 18:13:14,2.29,15.24,3.68
5,2024-12-04 18:13:14,2.62,15.24,3.68
6,2024-12-04 18:13:15,2.98,15.24,3.68
7,2024-12-04 18:13:15,3.34,15.24,3.68
8,2024-12-04 18:13:15,3.69,15.24,3.68
9,2024-12-04 18:13:16,4.05,15.24,3.68
10,2024-12-04 18:13:16,4.38,15.24,3.68
11,2024-12-04 18:13:16,4.72,15.24,3.68
12,2024-12-04 18:13:17,5.06,15.24,3.68
13,2024-12-04 18:13:17,5.40,15.24,3.68
14,2024-12-04 18:13:18,5.75,15.24,3.68
15,2024-12-04 18:13:18,6.10,15.24,3.68
16,2024-12-04 18:13:18,6.45,15.24,3.68
17,2024-12-04 18:13:19,6.79,15.24,3.68
18,2024-12-04 18:13:19,7.14,15.24,3.68
19,2024-12-04 18:13:19,7.49,15.24,3.68
20,2024-12-04 18:13:20,7.85,15.24,3.68
21,2024-12-04 18:13:20,8.21,15.24,3.68
22,2024-12-04 18:13:20,8.56,15.24,3.68
23,2024-12-04 18:13:21,8.91,15.24,3.68
24,2024-12-04 18:13:21,9.25,15.24,3.68
25,2024-12-04 18:13:21,9.61,15.24,3.68
26,2024-12-04 18:13:22,9.96,15.24,3.68
27,2024-12-04 18:13:22,10.29,15.24,3.68
28,2024-12-04 18:13:22,10.64,15.24,3.68
29,2024-12-04 18:13:23,10.99,15.24,3.68
30,2024-12-04 18:13:23,11.34,15.24,3.68
31,2024-12-04 18:13:23,11.68,15.24,3.68
32,2024-12-04 18:13:24,12.02,15.24,3.68
33,2024-12-04 18:13:24,12.36,15.24,3.68
34,2024-12-04 18:13:24,12.72,15.24,3.68
35,2024-12-04 18:13:25,13.07,15.24,3.68
36,2024-12-04 18:13:25,13.41,15.24,3.68
37,2024-12-04 18:13:26,13.77,15.24,3.68
38,2024-12-04 18:13:26,14.12,15.24,3.68
39,2024-12-04 18:13:26,14.48,15.24,3.68
40,2024-12-04 18:13:27,14.83,15.24,3.68
41,2024-12-04 18:13:27,15.18,15.24,3.68
42,2024-12-04 18:13:27,15.53,15.24,3.68
43,2024-12-04 18:13:28,15.88,15.24,3.68
44,2024-12-04 18:13:28,16.24,15.24,3.68
45,2024-12-04 18:13:28,16.60,15.24,3.68
46,2024-12-04 18:13:29,16.96,15.24,3.68
47,2024-12-04 18:13:29,17.31,15.24,3.68
48,2024-12-04 18:13:29,17.65,15.24,3.68
49,2024-12-04 18:13:30,18.01,15.24,3.68
50,2024-12-04 18:13:30,18.37,15.24,3.68
51,2024-12-04 18:13:31,18.73,15.24,3.68
52,2024-12-04 18:13:31,19.09,15.24,3.68
53,2024-12-04 18:13:31,19.43,15.24,3.68
54,2024-12-04 18:13:32,19.77,15.24,3.68
