Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 17:08:39,1.16,15.24,1.84
2,2024-12-04 17:08:39,1.37,15.24,1.84
3,2024-12-04 17:08:40,1.59,15.24,1.84
4,2024-12-04 17:08:40,1.80,15.24,1.84
5,2024-12-04 17:08:40,2.01,15.24,1.84
6,2024-12-04 17:08:40,2.23,15.24,1.84
7,2024-12-04 17:08:41,2.45,15.24,1.84
8,2024-12-04 17:08:41,2.66,15.24,1.84
9,2024-12-04 17:08:41,2.87,15.24,1.84
10,2024-12-04 17:08:41,3.08,15.24,1.84
11,2024-12-04 17:08:41,3.29,15.24,1.84
12,2024-12-04 17:08:42,3.50,15.24,1.84
13,2024-12-04 17:08:42,3.71,15.24,1.84
14,2024-12-04 17:08:42,3.93,15.24,1.84
15,2024-12-04 17:08:42,4.14,15.24,1.84
16,2024-12-04 17:08:42,4.35,15.24,1.84
17,2024-12-04 17:08:43,4.56,15.24,1.84
18,2024-12-04 17:08:43,4.77,15.24,1.84
19,2024-12-04 17:08:43,4.98,15.24,1.84
20,2024-12-04 17:08:43,5.20,15.24,1.84
21,2024-12-04 17:08:44,5.42,15.24,1.84
22,2024-12-04 17:08:44,5.64,15.24,1.84
23,2024-12-04 17:08:44,5.85,15.24,1.84
24,2024-12-04 17:08:44,6.05,15.24,1.84
25,2024-12-04 17:08:44,6.27,15.24,1.84
26,2024-12-04 17:08:45,6.49,15.24,1.84
27,2024-12-04 17:08:45,6.68,15.24,1.84
28,2024-12-04 17:08:45,6.90,15.24,1.84
29,2024-12-04 17:08:45,7.10,15.24,1.84
30,2024-12-04 17:08:45,7.31,15.24,1.84
31,2024-12-04 17:08:46,7.52,15.24,1.84
32,2024-12-04 17:08:46,7.73,15.24,1.84
33,2024-12-04 17:08:46,7.94,15.24,1.84
34,2024-12-04 17:08:46,8.16,15.24,1.84
35,2024-12-04 17:08:46,8.37,15.24,1.84
36,2024-12-04 17:08:47,8.59,15.24,1.84
37,2024-12-04 17:08:47,8.81,15.24,1.84
38,2024-12-04 17:08:47,9.03,15.24,1.84
39,2024-12-04 17:08:47,9.25,15.24,1.84
40,2024-12-04 17:08:48,9.46,15.24,1.84
41,2024-12-04 17:08:48,9.68,15.24,1.84
42,2024-12-04 17:08:48,9.89,15.24,1.84
43,2024-12-04 17:08:48,10.11,15.24,1.84
44,2024-12-04 17:08:48,10.33,15.24,1.84
45,2024-12-04 17:08:49,10.55,15.24,1.84
46,2024-12-04 17:08:49,10.77,15.24,1.84
47,2024-12-04 17:08:49,10.98,15.24,1.84
48,2024-12-04 17:08:49,11.19,15.24,1.84
49,2024-12-04 17:08:50,11.42,15.24,1.84
50,2024-12-04 17:08:50,11.65,15.24,1.84
51,2024-12-04 17:08:50,11.87,15.24,1.84
52,2024-12-04 17:08:50,12.09,15.24,1.84
53,2024-12-04 17:08:50,12.30,15.24,1.84
54,2024-12-04 17:08:51,12.50,15.24,1.84
55,2024-12-04 17:08:51,12.73,15.24,1.84
56,2024-12-04 17:08:51,12.94,15.24,1.84
57,2024-12-04 17:08:51,13.15,15.24,1.84
58,2024-12-04 17:08:51,13.36,15.24,1.84
59,2024-12-04 17:08:52,13.58,15.24,1.84
60,2024-12-04 17:08:52,13.79,15.24,1.84
61,2024-12-04 17:08:52,14.01,15.24,1.84
62,2024-12-04 17:08:52,14.22,15.24,1.84
63,2024-12-04 17:08:53,14.44,15.24,1.84
64,2024-12-04 17:08:53,14.66,15.24,1.84
65,2024-12-04 17:08:53,14.88,15.24,1.84
66,2024-12-04 17:08:53,15.10,15.24,1.84
67,2024-12-04 17:08:53,15.32,15.24,1.84
68,2024-12-04 17:08:54,15.54,15.24,1.84
69,2024-12-04 17:08:54,15.76,15.24,1.84
70,2024-12-04 17:08:54,15.98,15.24,1.84
71,2024-12-04 17:08:54,16.20,15.24,1.84
72,2024-12-04 17:08:55,16.41,15.24,1.84
73,2024-12-04 17:08:55,16.63,15.24,1.84
74,2024-12-04 17:08:55,16.84,15.24,1.84
75,2024-12-04 17:08:55,17.05,15.24,1.84
76,2024-12-04 17:08:55,17.27,15.24,1.84
77,2024-12-04 17:08:56,17.48,15.24,1.84
78,2024-12-04 17:08:56,17.69,15.24,1.84
79,2024-12-04 17:08:56,17.91,15.24,1.84
80,2024-12-04 17:08:56,18.11,15.24,1.84
81,2024-12-04 17:08:56,18.32,15.24,1.84
82,2024-12-04 17:08:57,18.54,15.24,1.84
83,2024-12-04 17:08:57,18.76,15.24,1.84
84,2024-12-04 17:08:57,18.97,15.24,1.84
85,2024-12-04 17:08:57,19.19,15.24,1.84
86,2024-12-04 17:08:58,19.40,15.24,1.84
87,2024-12-04 17:08:58,19.63,15.24,1.84
88,2024-12-04 17:08:58,19.86,15.24,1.84
89,2024-12-04 17:08:58,20.07,15.24,1.84
90,2024-12-04 17:08:58,20.28,15.24,1.84
91,2024-12-04 17:08:59,20.49,15.24,1.84
92,2024-12-04 17:08:59,20.71,15.24,1.84
93,2024-12-04 17:08:59,20.93,15.24,1.84
94,2024-12-04 17:08:59,21.13,15.24,1.84
95,2024-12-04 17:08:59,21.33,15.24,1.84
96,2024-12-04 17:09:00,21.54,15.24,1.84
97,2024-12-04 17:09:00,21.76,15.24,1.84
98,2024-12-04 17:09:00,21.98,15.24,1.84
