Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-05 00:06:37,1.05,16.03,5.43
2,2024-12-05 00:06:37,1.17,16.03,5.43
3,2024-12-05 00:06:37,1.29,16.03,5.43
4,2024-12-05 00:06:37,1.42,16.03,5.43
5,2024-12-05 00:06:37,1.54,16.03,5.43
6,2024-12-05 00:06:37,1.67,16.03,5.43
7,2024-12-05 00:06:37,1.79,16.03,5.43
8,2024-12-05 00:06:38,1.92,16.03,5.43
9,2024-12-05 00:06:38,2.04,16.03,5.43
10,2024-12-05 00:06:38,2.16,16.03,5.43
11,2024-12-05 00:06:38,2.29,16.03,5.43
12,2024-12-05 00:06:38,2.41,16.03,5.43
13,2024-12-05 00:06:38,2.53,16.03,5.43
14,2024-12-05 00:06:38,2.65,16.03,5.43
15,2024-12-05 00:06:38,2.77,16.03,5.43
