Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 23:18:31,1.03,15.17,3.68
2,2024-12-04 23:18:31,1.14,15.17,3.68
3,2024-12-04 23:18:31,1.24,15.17,3.68
4,2024-12-04 23:18:31,1.35,15.17,3.68
5,2024-12-04 23:18:31,1.46,15.17,3.68
6,2024-12-04 23:18:31,1.55,15.17,3.68
7,2024-12-04 23:18:32,1.65,15.17,3.68
8,2024-12-04 23:18:32,1.75,15.17,3.68
9,2024-12-04 23:18:32,1.85,15.17,3.68
10,2024-12-04 23:18:32,1.94,15.17,3.68
11,2024-12-04 23:18:32,2.03,15.17,3.68
12,2024-12-04 23:18:32,2.12,15.17,3.68
13,2024-12-04 23:18:32,2.21,15.17,3.68
14,2024-12-04 23:18:32,2.31,15.17,3.68
15,2024-12-04 23:18:32,2.4,15.17,3.68
