Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 23:12:02,1.11,15.17,1.84
2,2024-12-04 23:12:03,1.22,15.17,1.84
3,2024-12-04 23:12:03,1.34,15.17,1.84
4,2024-12-04 23:12:03,1.46,15.17,1.84
5,2024-12-04 23:12:03,1.57,15.17,1.84
6,2024-12-04 23:12:03,1.67,15.17,1.84
7,2024-12-04 23:12:03,1.77,15.17,1.84
8,2024-12-04 23:12:03,1.89,15.17,1.84
9,2024-12-04 23:12:03,1.99,15.17,1.84
10,2024-12-04 23:12:03,2.09,15.17,1.84
11,2024-12-04 23:12:04,2.19,15.17,1.84
12,2024-12-04 23:12:04,2.3,15.17,1.84
13,2024-12-04 23:12:04,2.4,15.17,1.84
14,2024-12-04 23:12:04,2.5,15.17,1.84
15,2024-12-04 23:12:04,2.6,15.17,1.84
144,2024-12-04 23:12:17,15.94,15.17,1.85
727,2024-12-04 23:13:17,75.87,15.17,1.85
1520,2024-12-04 23:14:38,156.9,15.17,1.85
