Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-05 00:06:37,1.05,16.03,5.43
2,2024-12-05 00:06:37,1.17,16.03,5.43
3,2024-12-05 00:06:37,1.29,16.03,5.43
4,2024-12-05 00:06:37,1.42,16.03,5.43
5,2024-12-05 00:06:37,1.54,16.03,5.43
6,2024-12-05 00:06:37,1.67,16.03,5.43
7,2024-12-05 00:06:37,1.79,16.03,5.43
8,2024-12-05 00:06:38,1.92,16.03,5.43
9,2024-12-05 00:06:38,2.04,16.03,5.43
10,2024-12-05 00:06:38,2.16,16.03,5.43
11,2024-12-05 00:06:38,2.29,16.03,5.43
12,2024-12-05 00:06:38,2.41,16.03,5.43
13,2024-12-05 00:06:38,2.53,16.03,5.43
14,2024-12-05 00:06:38,2.65,16.03,5.43
15,2024-12-05 00:06:38,2.77,16.03,5.43
16,2024-12-05 00:06:39,2.90,16.03,5.43
17,2024-12-05 00:06:39,3.03,16.03,5.43
18,2024-12-05 00:06:39,3.15,16.03,5.43
19,2024-12-05 00:06:39,3.27,16.03,5.43
20,2024-12-05 00:06:39,3.39,16.03,5.43
21,2024-12-05 00:06:39,3.52,16.03,5.43
22,2024-12-05 00:06:39,3.64,16.03,5.43
23,2024-12-05 00:06:39,3.77,16.03,5.43
24,2024-12-05 00:06:40,3.88,16.03,5.43
25,2024-12-05 00:06:40,4.01,16.03,5.43
26,2024-12-05 00:06:40,4.14,16.03,5.43
27,2024-12-05 00:06:40,4.25,16.03,5.43
28,2024-12-05 00:06:40,4.37,16.03,5.43
29,2024-12-05 00:06:40,4.49,16.03,5.43
30,2024-12-05 00:06:40,4.61,16.03,5.43
31,2024-12-05 00:06:40,4.73,16.03,5.43
32,2024-12-05 00:06:41,4.85,16.03,5.43
33,2024-12-05 00:06:41,4.98,16.03,5.43
34,2024-12-05 00:06:41,5.10,16.03,5.43
35,2024-12-05 00:06:41,5.22,16.03,5.43
36,2024-12-05 00:06:41,5.34,16.03,5.43
37,2024-12-05 00:06:41,5.47,16.03,5.43
38,2024-12-05 00:06:41,5.60,16.03,5.43
39,2024-12-05 00:06:41,5.72,16.03,5.43
40,2024-12-05 00:06:42,5.85,16.03,5.43
41,2024-12-05 00:06:42,5.97,16.03,5.43
42,2024-12-05 00:06:42,6.09,16.03,5.43
43,2024-12-05 00:06:42,6.22,16.03,5.43
44,2024-12-05 00:06:42,6.34,16.03,5.43
45,2024-12-05 00:06:42,6.47,16.03,5.43
46,2024-12-05 00:06:42,6.59,16.03,5.43
47,2024-12-05 00:06:42,6.71,16.03,5.43
48,2024-12-05 00:06:42,6.83,16.03,5.43
49,2024-12-05 00:06:43,6.96,16.03,5.43
50,2024-12-05 00:06:43,7.08,16.03,5.43
51,2024-12-05 00:06:43,7.21,16.03,5.43
52,2024-12-05 00:06:43,7.33,16.03,5.43
53,2024-12-05 00:06:43,7.45,16.03,5.43
54,2024-12-05 00:06:43,7.57,16.03,5.43
55,2024-12-05 00:06:43,7.70,16.03,5.43
56,2024-12-05 00:06:43,7.83,16.03,5.43
57,2024-12-05 00:06:44,7.95,16.03,5.43
58,2024-12-05 00:06:44,8.07,16.03,5.43
59,2024-12-05 00:06:44,8.20,16.03,5.43
60,2024-12-05 00:06:44,8.32,16.03,5.43
61,2024-12-05 00:06:44,8.44,16.03,5.43
62,2024-12-05 00:06:44,8.57,16.03,5.43
63,2024-12-05 00:06:44,8.69,16.03,5.43
64,2024-12-05 00:06:44,8.82,16.03,5.43
65,2024-12-05 00:06:45,8.94,16.03,5.43
66,2024-12-05 00:06:45,9.07,16.03,5.43
67,2024-12-05 00:06:45,9.20,16.03,5.43
68,2024-12-05 00:06:45,9.32,16.03,5.43
69,2024-12-05 00:06:45,9.44,16.03,5.43
70,2024-12-05 00:06:45,9.57,16.03,5.43
71,2024-12-05 00:06:45,9.69,16.03,5.43
72,2024-12-05 00:06:45,9.82,16.03,5.43
73,2024-12-05 00:06:46,9.94,16.03,5.43
74,2024-12-05 00:06:46,10.07,16.03,5.43
75,2024-12-05 00:06:46,10.18,16.03,5.43
76,2024-12-05 00:06:46,10.31,16.03,5.43
77,2024-12-05 00:06:46,10.43,16.03,5.43
78,2024-12-05 00:06:46,10.55,16.03,5.43
79,2024-12-05 00:06:46,10.67,16.03,5.43
80,2024-12-05 00:06:46,10.79,16.03,5.43
81,2024-12-05 00:06:47,10.91,16.03,5.43
82,2024-12-05 00:06:47,11.04,16.03,5.43
83,2024-12-05 00:06:47,11.17,16.03,5.43
84,2024-12-05 00:06:47,11.29,16.03,5.43
85,2024-12-05 00:06:47,11.41,16.03,5.43
86,2024-12-05 00:06:47,11.53,16.03,5.43
87,2024-12-05 00:06:47,11.66,16.03,5.43
88,2024-12-05 00:06:47,11.78,16.03,5.43
89,2024-12-05 00:06:48,11.91,16.03,5.43
90,2024-12-05 00:06:48,12.03,16.03,5.43
91,2024-12-05 00:06:48,12.15,16.03,5.43
92,2024-12-05 00:06:48,12.27,16.03,5.43
93,2024-12-05 00:06:48,12.40,16.03,5.43
94,2024-12-05 00:06:48,12.52,16.03,5.43
95,2024-12-05 00:06:48,12.63,16.03,5.43
96,2024-12-05 00:06:48,12.75,16.03,5.43
97,2024-12-05 00:06:49,12.87,16.03,5.43
98,2024-12-05 00:06:49,13.00,16.03,5.43
99,2024-12-05 00:06:49,13.12,16.03,5.43
100,2024-12-05 00:06:49,13.24,16.03,5.43
101,2024-12-05 00:06:49,13.36,16.03,5.43
102,2024-12-05 00:06:49,13.49,16.03,5.43
103,2024-12-05 00:06:49,13.61,16.03,5.43
104,2024-12-05 00:06:49,13.74,16.03,5.43
105,2024-12-05 00:06:50,13.86,16.03,5.43
106,2024-12-05 00:06:50,13.99,16.03,5.43
107,2024-12-05 00:06:50,14.12,16.03,5.43
108,2024-12-05 00:06:50,14.24,16.03,5.43
109,2024-12-05 00:06:50,14.37,16.03,5.43
110,2024-12-05 00:06:50,14.50,16.03,5.43
111,2024-12-05 00:06:50,14.62,16.03,5.43
112,2024-12-05 00:06:50,14.75,16.03,5.43
113,2024-12-05 00:06:51,14.88,16.03,5.43
114,2024-12-05 00:06:51,15.00,16.03,5.43
115,2024-12-05 00:06:51,15.13,16.03,5.43
116,2024-12-05 00:06:51,15.26,16.03,5.43
117,2024-12-05 00:06:51,15.38,16.03,5.43
118,2024-12-05 00:06:51,15.51,16.03,5.43
119,2024-12-05 00:06:51,15.64,16.03,5.43
120,2024-12-05 00:06:51,15.77,16.03,5.43
121,2024-12-05 00:06:52,15.89,16.03,5.43
122,2024-12-05 00:06:52,16.02,16.03,5.43
123,2024-12-05 00:06:52,16.14,16.03,5.43
124,2024-12-05 00:06:52,16.26,16.03,5.43
