Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 04:00:47,1.72,17.49,5.09
2,2024-12-04 04:00:48,2.69,17.49,5.09
3,2024-12-04 04:00:48,3.65,17.49,5.09
4,2024-12-04 04:00:49,4.61,17.49,5.09
5,2024-12-04 04:00:50,5.57,17.49,5.09
6,2024-12-04 04:00:51,6.52,17.49,5.09
7,2024-12-04 04:00:52,7.48,17.49,5.09
8,2024-12-04 04:00:53,8.45,17.49,5.09
9,2024-12-04 04:00:54,9.41,17.49,5.09
10,2024-12-04 04:00:55,10.37,17.49,5.09
11,2024-12-04 04:00:56,11.34,17.49,5.09
12,2024-12-04 04:00:57,12.29,17.49,5.09
13,2024-12-04 04:00:58,13.25,17.49,5.09
14,2024-12-04 04:00:59,14.21,17.49,5.09
15,2024-12-04 04:01:00,15.18,17.49,5.09
