Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 02:33:13,1.65,17.49,2.31
2,2024-12-04 02:33:14,2.33,17.49,2.31
3,2024-12-04 02:33:14,2.98,17.49,2.31
4,2024-12-04 02:33:15,3.65,17.49,2.31
5,2024-12-04 02:33:16,4.31,17.49,2.31
6,2024-12-04 02:33:16,4.97,17.49,2.31
7,2024-12-04 02:33:17,5.63,17.49,2.31
8,2024-12-04 02:33:18,6.3,17.49,2.31
9,2024-12-04 02:33:18,6.97,17.49,2.31
10,2024-12-04 02:33:19,7.64,17.49,2.31
11,2024-12-04 02:33:20,8.3,17.49,2.31
12,2024-12-04 02:33:20,8.96,17.49,2.31
13,2024-12-04 02:33:21,9.63,17.49,2.31
14,2024-12-04 02:33:22,10.28,17.49,2.31
15,2024-12-04 02:33:22,10.95,17.49,2.31
