Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 04:00:47,1.72,17.49,5.09
2,2024-12-04 04:00:48,2.69,17.49,5.09
3,2024-12-04 04:00:48,3.65,17.49,5.09
4,2024-12-04 04:00:49,4.61,17.49,5.09
5,2024-12-04 04:00:50,5.57,17.49,5.09
6,2024-12-04 04:00:51,6.52,17.49,5.09
7,2024-12-04 04:00:52,7.48,17.49,5.09
8,2024-12-04 04:00:53,8.45,17.49,5.09
9,2024-12-04 04:00:54,9.41,17.49,5.09
10,2024-12-04 04:00:55,10.37,17.49,5.09
11,2024-12-04 04:00:56,11.34,17.49,5.09
12,2024-12-04 04:00:57,12.29,17.49,5.09
13,2024-12-04 04:00:58,13.25,17.49,5.09
14,2024-12-04 04:00:59,14.21,17.49,5.09
15,2024-12-04 04:01:00,15.18,17.49,5.09
16,2024-12-04 04:01:01,16.14,17.49,5.09
17,2024-12-04 04:01:02,17.10,17.49,5.09
18,2024-12-04 04:01:03,18.05,17.49,5.09
19,2024-12-04 04:01:04,19.02,17.49,5.09
20,2024-12-04 04:01:05,19.97,17.49,5.09
21,2024-12-04 04:01:06,20.93,17.49,5.09
22,2024-12-04 04:01:07,21.90,17.49,5.09
23,2024-12-04 04:01:08,22.86,17.49,5.09
24,2024-12-04 04:01:09,23.82,17.49,5.09
25,2024-12-04 04:01:10,24.78,17.49,5.09
26,2024-12-04 04:01:11,25.76,17.49,5.09
27,2024-12-04 04:01:12,26.72,17.49,5.09
28,2024-12-04 04:01:13,27.69,17.49,5.09
29,2024-12-04 04:01:13,28.66,17.49,5.09
30,2024-12-04 04:01:14,29.62,17.49,5.09
31,2024-12-04 04:01:15,30.59,17.49,5.09
32,2024-12-04 04:01:16,31.55,17.49,5.09
33,2024-12-04 04:01:17,32.51,17.49,5.09
34,2024-12-04 04:01:18,33.47,17.49,5.09
35,2024-12-04 04:01:19,34.44,17.49,5.09
36,2024-12-04 04:01:20,35.39,17.49,5.09
37,2024-12-04 04:01:21,36.36,17.49,5.09
38,2024-12-04 04:01:22,37.32,17.49,5.09
39,2024-12-04 04:01:23,38.30,17.49,5.09
40,2024-12-04 04:01:24,39.27,17.49,5.09
41,2024-12-04 04:01:25,40.24,17.49,5.09
42,2024-12-04 04:01:26,41.19,17.49,5.09
43,2024-12-04 04:01:27,42.15,17.49,5.09
44,2024-12-04 04:01:28,43.12,17.49,5.09
45,2024-12-04 04:01:29,44.09,17.49,5.09
46,2024-12-04 04:01:30,45.06,17.49,5.09
47,2024-12-04 04:01:31,46.02,17.49,5.09
48,2024-12-04 04:01:32,46.98,17.49,5.09
49,2024-12-04 04:01:33,47.95,17.49,5.09
50,2024-12-04 04:01:34,48.91,17.49,5.09
51,2024-12-04 04:01:35,49.88,17.49,5.09
52,2024-12-04 04:01:36,50.84,17.49,5.09
53,2024-12-04 04:01:37,51.81,17.49,5.09
54,2024-12-04 04:01:38,52.77,17.49,5.09
55,2024-12-04 04:01:39,53.74,17.49,5.09
56,2024-12-04 04:01:40,54.70,17.49,5.09
57,2024-12-04 04:01:40,55.66,17.49,5.09
58,2024-12-04 04:01:41,56.62,17.49,5.09
59,2024-12-04 04:01:42,57.59,17.49,5.09
60,2024-12-04 04:01:43,58.55,17.49,5.09
61,2024-12-04 04:01:44,59.51,17.49,5.09
62,2024-12-04 04:01:45,60.47,17.49,5.09
63,2024-12-04 04:01:46,61.45,17.49,5.09
64,2024-12-04 04:01:47,62.41,17.49,5.09
65,2024-12-04 04:01:48,63.38,17.49,5.09
66,2024-12-04 04:01:49,64.34,17.49,5.09
67,2024-12-04 04:01:50,65.30,17.49,5.09
68,2024-12-04 04:01:51,66.26,17.49,5.09
69,2024-12-04 04:01:52,67.23,17.49,5.09
70,2024-12-04 04:01:53,68.20,17.49,5.09
71,2024-12-04 04:01:54,69.16,17.49,5.09
72,2024-12-04 04:01:55,70.13,17.49,5.09
73,2024-12-04 04:01:56,71.10,17.49,5.09
74,2024-12-04 04:01:57,72.07,17.49,5.09
75,2024-12-04 04:01:58,73.02,17.49,5.09
76,2024-12-04 04:01:59,73.99,17.49,5.09
77,2024-12-04 04:02:00,74.95,17.49,5.09
78,2024-12-04 04:02:01,75.92,17.49,5.09
79,2024-12-04 04:02:02,76.88,17.49,5.09
80,2024-12-04 04:02:03,77.84,17.49,5.09
81,2024-12-04 04:02:04,78.81,17.49,5.09
82,2024-12-04 04:02:05,79.77,17.49,5.09
83,2024-12-04 04:02:06,80.74,17.49,5.09
84,2024-12-04 04:02:07,81.70,17.49,5.09
85,2024-12-04 04:02:07,82.67,17.49,5.09
86,2024-12-04 04:02:08,83.64,17.49,5.09
87,2024-12-04 04:02:09,84.60,17.49,5.09
88,2024-12-04 04:02:10,85.57,17.49,5.09
89,2024-12-04 04:02:11,86.53,17.49,5.09
90,2024-12-04 04:02:12,87.49,17.49,5.09
91,2024-12-04 04:02:13,88.46,17.49,5.09
92,2024-12-04 04:02:14,89.43,17.49,5.09
