Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 02:33:13,1.65,17.49,2.31
2,2024-12-04 02:33:14,2.33,17.49,2.31
3,2024-12-04 02:33:14,2.98,17.49,2.31
4,2024-12-04 02:33:15,3.65,17.49,2.31
5,2024-12-04 02:33:16,4.31,17.49,2.31
6,2024-12-04 02:33:16,4.97,17.49,2.31
7,2024-12-04 02:33:17,5.63,17.49,2.31
8,2024-12-04 02:33:18,6.30,17.49,2.31
9,2024-12-04 02:33:18,6.97,17.49,2.31
10,2024-12-04 02:33:19,7.64,17.49,2.31
11,2024-12-04 02:33:20,8.30,17.49,2.31
12,2024-12-04 02:33:20,8.96,17.49,2.31
13,2024-12-04 02:33:21,9.63,17.49,2.31
14,2024-12-04 02:33:22,10.28,17.49,2.31
15,2024-12-04 02:33:22,10.95,17.49,2.31
16,2024-12-04 02:33:23,11.60,17.49,2.31
17,2024-12-04 02:33:24,12.26,17.49,2.31
18,2024-12-04 02:33:24,12.92,17.49,2.31
19,2024-12-04 02:33:25,13.60,17.49,2.31
20,2024-12-04 02:33:26,14.26,17.49,2.31
21,2024-12-04 02:33:26,14.92,17.49,2.31
22,2024-12-04 02:33:27,15.59,17.49,2.31
23,2024-12-04 02:33:28,16.27,17.49,2.31
24,2024-12-04 02:33:28,16.93,17.49,2.31
25,2024-12-04 02:33:29,17.60,17.49,2.31
26,2024-12-04 02:33:30,18.27,17.49,2.31
27,2024-12-04 02:33:30,18.94,17.49,2.31
28,2024-12-04 02:33:31,19.60,17.49,2.31
29,2024-12-04 02:33:32,20.27,17.49,2.31
30,2024-12-04 02:33:32,20.94,17.49,2.31
31,2024-12-04 02:33:33,21.61,17.49,2.31
32,2024-12-04 02:33:34,22.26,17.49,2.31
33,2024-12-04 02:33:34,22.93,17.49,2.31
34,2024-12-04 02:33:35,23.59,17.49,2.31
35,2024-12-04 02:33:36,24.27,17.49,2.31
36,2024-12-04 02:33:36,24.93,17.49,2.31
37,2024-12-04 02:33:37,25.60,17.49,2.31
38,2024-12-04 02:33:38,26.26,17.49,2.31
