Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 0:56:12,1.93,17.49,6.84
2,2024-12-04 0:56:14,3.08,17.49,6.84
3,2024-12-04 0:56:15,4.23,17.49,6.84
4,2024-12-04 0:56:16,5.4,17.49,6.84
5,2024-12-04 0:56:17,6.56,17.49,6.84
6,2024-12-04 0:56:18,7.73,17.49,6.84
7,2024-12-04 0:56:19,8.9,17.49,6.84
8,2024-12-04 0:56:21,10.08,17.49,6.84
9,2024-12-04 0:56:22,11.26,17.49,6.84
10,2024-12-04 0:56:23,12.44,17.49,6.84
11,2024-12-04 0:56:24,13.63,17.49,6.84
12,2024-12-04 0:56:25,14.81,17.49,6.84
13,2024-12-04 0:56:27,15.99,17.49,6.84
14,2024-12-04 0:56:28,17.17,17.49,6.84
15,2024-12-04 0:56:29,18.36,17.49,6.84
