Step,Timestamp,Time (s),RAM Usage (GB),GPU Memory Usage (GB)
1,2024-12-04 00:56:12,1.93,17.49,6.84
2,2024-12-04 00:56:14,3.08,17.49,6.84
3,2024-12-04 00:56:15,4.23,17.49,6.84
4,2024-12-04 00:56:16,5.40,17.49,6.84
5,2024-12-04 00:56:17,6.56,17.49,6.84
6,2024-12-04 00:56:18,7.73,17.49,6.84
7,2024-12-04 00:56:19,8.90,17.49,6.84
8,2024-12-04 00:56:21,10.08,17.49,6.84
9,2024-12-04 00:56:22,11.26,17.49,6.84
10,2024-12-04 00:56:23,12.44,17.49,6.84
11,2024-12-04 00:56:24,13.63,17.49,6.84
12,2024-12-04 00:56:25,14.81,17.49,6.84
13,2024-12-04 00:56:27,15.99,17.49,6.84
14,2024-12-04 00:56:28,17.17,17.49,6.84
15,2024-12-04 00:56:29,18.36,17.49,6.84
16,2024-12-04 00:56:30,19.55,17.49,6.84
17,2024-12-04 00:56:31,20.74,17.49,6.84
18,2024-12-04 00:56:32,21.92,17.49,6.84
19,2024-12-04 00:56:34,23.11,17.49,6.84
20,2024-12-04 00:56:35,24.29,17.49,6.84
21,2024-12-04 00:56:36,25.48,17.49,6.84
22,2024-12-04 00:56:37,26.66,17.49,6.84
23,2024-12-04 00:56:38,27.85,17.49,6.84
24,2024-12-04 00:56:40,29.04,17.49,6.84
25,2024-12-04 00:56:41,30.23,17.49,6.84
26,2024-12-04 00:56:42,31.42,17.49,6.84
27,2024-12-04 00:56:43,32.62,17.49,6.84
28,2024-12-04 00:56:44,33.81,17.49,6.84
29,2024-12-04 00:56:46,34.98,17.49,6.84
30,2024-12-04 00:56:47,36.17,17.49,6.84
31,2024-12-04 00:56:48,37.35,17.49,6.84
32,2024-12-04 00:56:49,38.52,17.49,6.84
33,2024-12-04 00:56:50,39.70,17.49,6.84
34,2024-12-04 00:56:51,40.88,17.49,6.84
35,2024-12-04 00:56:53,42.07,17.49,6.84
36,2024-12-04 00:56:54,43.24,17.49,6.84
37,2024-12-04 00:56:55,44.42,17.49,6.84
38,2024-12-04 00:56:56,45.59,17.49,6.84
39,2024-12-04 00:56:57,46.77,17.49,6.84
40,2024-12-04 00:56:58,47.93,17.49,6.84
41,2024-12-04 00:57:00,49.10,17.49,6.84
42,2024-12-04 00:57:01,50.26,17.49,6.84
43,2024-12-04 00:57:02,51.43,17.49,6.84
44,2024-12-04 00:57:03,52.60,17.49,6.84
45,2024-12-04 00:57:04,53.76,17.49,6.84
46,2024-12-04 00:57:05,54.93,17.49,6.84
47,2024-12-04 00:57:07,56.09,17.49,6.84
48,2024-12-04 00:57:08,57.26,17.49,6.84
49,2024-12-04 00:57:09,58.42,17.49,6.84
50,2024-12-04 00:57:10,59.59,17.49,6.84
51,2024-12-04 00:57:11,60.75,17.49,6.84
52,2024-12-04 00:57:12,61.92,17.49,6.84
53,2024-12-04 00:57:14,63.09,17.49,6.84
54,2024-12-04 00:57:15,64.25,17.49,6.84
55,2024-12-04 00:57:16,65.41,17.49,6.84
56,2024-12-04 00:57:17,66.58,17.49,6.84
57,2024-12-04 00:57:18,67.74,17.49,6.84
58,2024-12-04 00:57:19,68.90,17.49,6.84
59,2024-12-04 00:57:21,70.06,17.49,6.84
60,2024-12-04 00:57:22,71.22,17.49,6.84
